post_id,influencer_id,platform,date,url,caption,reach,likes,comments,brand
POST_001,INF_014,YouTube,2025-06-04,https://youtube.com/p/rate-hour-left-we,Best issue interest level. Pull worker better.,69568,2237,437,MuscleBlaze
POST_002,INF_030,TikTok,2025-05-01,https://tiktok.com/p/compare-investment,Enough threat score choice. Painting response data plant enough.,86971,1074,139,MuscleBlaze
POST_003,INF_002,Instagram,2025-06-03,https://instagram.com/p/bag-you-use-rock,Along hard need involve among half value. Together decide economic.,22038,430,154,MuscleBlaze
POST_004,INF_050,Instagram,2025-06-30,https://instagram.com/p/since-window-go,Environment skin blue the teach. Current truth glass star the. Age cover foreign ten whom.,45575,2161,279,HKVitals
POST_005,INF_036,Twitter,2025-05-23,https://twitter.com/p/shoulder-stop,Never court professor here security. Past feeling nature a. Decision size parent focus kid.,523888,22160,1421,MuscleBlaze
POST_006,INF_036,Twitter,2025-07-15,https://twitter.com/p/any-election-may,Increase picture create recent manager during prevent. Throughout team those.,324174,8734,1686,Gritzo
POST_007,INF_009,Twitter,2025-04-28,https://twitter.com/p/cold-six-training,Strong like see appear weight. Practice sit prepare senior wear. Stuff perform draw list boy.,457987,22609,863,HKVitals
POST_008,INF_005,YouTube,2025-06-04,https://youtube.com/p/industry-year,Option store drug recent. Sure outside building worker site.,389319,5594,1060,Gritzo
POST_009,INF_035,Instagram,2025-06-18,https://instagram.com/p/person-executive,Everything late seek now. From management foot maintain great election.,141528,2454,730,MuscleBlaze
POST_010,INF_045,TikTok,2025-06-17,https://tiktok.com/p/party-home-material,State husband available picture. Charge specific we. Yes budget share paper.,60447,2674,113,Gritzo
POST_011,INF_022,YouTube,2025-06-30,https://youtube.com/p/long-avoid-right,Operation sound cup boy different chance enter central. Coach film see notice.,665582,32453,6214,MuscleBlaze
POST_012,INF_042,Twitter,2025-05-13,https://twitter.com/p/agree-benefit-drop,Capital explain thing machine ahead picture son. Financial add impact different.,241858,7075,2123,MuscleBlaze
POST_013,INF_048,Twitter,2025-05-13,https://twitter.com/p/treat-available,Relate specific history professional star wonder manager. Call whole forward. Them key moment lead.,273442,13511,926,HKVitals
POST_014,INF_034,Twitter,2025-05-28,https://twitter.com/p/serious-very-song,Pay doctor range. Young section its better plant. Kitchen really tough animal.,220161,10632,2192,Gritzo
POST_015,INF_016,YouTube,2025-07-15,https://youtube.com/p/effect-modern-while,Leave effect effort act source. Quality citizen kid generation onto.,541310,8764,1986,MuscleBlaze
POST_016,INF_024,Twitter,2025-07-05,https://twitter.com/p/skill-model-there,Parent good PM per question. Pick tough position final.,519781,6465,1986,MuscleBlaze
